corridor,tmc_code,period,direction,road_order,period_hours,common_threshold_mph,observed_same_threshold_p_hours,cbi_qvdf_same_threshold_p_hours,taplite_same_threshold_p_hours,taplite_kernel_p_hours,taplite_kernel_doc,taplite_period_volume,gmns_link_count,cbi_qvdf_minus_taplite_profile_p_hours,cbi_qvdf_vs_taplite_profile_abs_error_hours,cbi_selected_episode_count,cbi_selected_episode_p_hours,cbi_selected_episode_doc,cbi_selected_episode_demand_veh_per_lane,cbi_capacity_reference_hours,cbi_capacity_volume_veh_per_lane,cbi_selected_p_minus_qvdf_profile_p_hours,taplite_kernel_p_minus_profile_p_hours,cbi_doc_minus_taplite_doc,same_profile_duration_within_15_min
VA236_WB,110N06696,AM,WESTBOUND,2.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.734100,1321.393900,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA236_WB,110N06696,MD,WESTBOUND,2.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.025700,3692.415800,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N06696,PM,WESTBOUND,2.000000,4.000000,31.500000,3.000000,4.000000,4.000000,9.850172,2.303800,1382.285400,1.000000,0.000000,0.000000,1.000000,23.750000,4.734600,11363.040158,4.000000,2400.000000,19.750000,5.850172,2.430800,True
VA236_WB,110N06697,AM,WESTBOUND,1.500000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.734100,1321.393900,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA236_WB,110N06697,MD,WESTBOUND,1.500000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.025700,3692.415800,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N06697,PM,WESTBOUND,1.500000,4.000000,31.500000,4.000000,4.000000,4.000000,9.850172,2.303800,1382.285400,1.000000,0.000000,0.000000,1.000000,24.000000,4.259221,10222.130641,4.000000,2400.000000,20.000000,5.850172,1.955421,True
VA236_WB,110N07888,AM,WESTBOUND,12.500000,3.000000,31.500000,3.000000,3.000000,3.000000,7.952178,2.524100,4846.324300,1.000000,0.000000,0.000000,1.000000,19.500000,6.331275,18234.070725,3.000000,2880.000000,16.500000,4.952178,3.807175,True
VA236_WB,110N07888,MD,WESTBOUND,12.500000,6.000000,31.500000,4.500000,6.000000,6.000000,0.000000,0.802000,9239.567300,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N07888,PM,WESTBOUND,12.500000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,1.130500,8682.220800,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA236_WB,110N10076,AM,WESTBOUND,23.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.322800,7619.607600,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA236_WB,110N10076,MD,WESTBOUND,23.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.146400,13206.691600,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N10076,PM,WESTBOUND,23.000000,4.000000,31.500000,4.000000,4.000000,4.000000,29.639254,6.964100,13371.006000,1.000000,0.000000,0.000000,1.000000,24.000000,5.381194,20663.784087,4.000000,3840.000000,20.000000,25.639254,-1.582906,True
VA237_EB,110+13613,AM,EASTBOUND,2.000000,3.000000,31.500000,2.500000,3.000000,3.000000,0.000000,3.496094,3269.000648,7.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110+13613,MD,EASTBOUND,2.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,2.791815,3194.843481,7.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+13613,PM,EASTBOUND,2.000000,4.000000,31.500000,3.500000,4.000000,4.000000,7.467978,4.397621,3191.013583,7.000000,0.000000,0.000000,,,,,,,,3.467978,,True
VA237_EB,110+13614,AM,EASTBOUND,4.000000,3.000000,31.500000,2.500000,3.000000,3.000000,4.530253,4.055929,3465.719992,4.000000,0.000000,0.000000,,,,,,,,1.530253,,True
VA237_EB,110+13614,MD,EASTBOUND,4.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,2.234042,3351.615430,4.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+13614,PM,EASTBOUND,4.000000,4.000000,31.500000,4.000000,4.000000,4.000000,16.808834,4.218625,3128.431576,4.000000,0.000000,0.000000,1.000000,24.000000,5.668797,13605.111645,4.000000,2400.000000,20.000000,12.808834,1.450172,True
VA237_EB,110+13615,AM,EASTBOUND,6.000000,3.000000,31.500000,2.500000,3.000000,3.000000,1.732138,4.967652,3224.084694,4.000000,0.000000,0.000000,,,,,,,,-1.267862,,True
VA237_EB,110+13615,MD,EASTBOUND,6.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,4.001650,2916.949858,4.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+13615,PM,EASTBOUND,6.000000,4.000000,31.500000,3.500000,4.000000,4.000000,17.611294,4.202217,2724.353733,4.000000,0.000000,0.000000,1.000000,24.000000,5.697414,13673.793057,4.000000,2400.000000,20.000000,13.611294,1.495197,True
VA237_EB,110+18839,AM,EASTBOUND,2.000000,3.000000,31.500000,2.500000,3.000000,3.000000,0.000000,2.129921,2814.399665,3.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110+18839,MD,EASTBOUND,2.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,3.927844,5262.296544,3.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+18839,PM,EASTBOUND,2.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,3.243912,4276.231188,3.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA237_EB,110+18840,AM,EASTBOUND,3.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.434683,2667.348925,2.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
