corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
I395_SB,110N04130,corridor_start,MD,20.000000,1.000000,26712,35197.118600,0.514600,0.000000,19691.414060,0.287886,1.932135,43.872333,47.432333,24,29.361375,54.857560,24
I395_SB,110N04130,corridor_start,PM,20.000000,1.000000,26712,32034.477800,0.702500,0.000000,23037.181640,0.505201,2.379307,40.906667,43.862333,16,18.801071,47.630986,16
I395_SB,110N04127,behavior_diverse_2_of_5,AM,28.000000,6.000000,26821;26699;26814;26810;26806;26799,12579.157560,0.642435,0.000000,8989.015769,0.458883,1.530650,58.513667,59.051667,12,27.402312,59.098191,12
I395_SB,110N04127,behavior_diverse_2_of_5,MD,28.000000,6.000000,26821;26699;26814;26810;26806;26799,24065.844465,0.614259,0.000000,22361.966456,0.569800,3.903691,44.431667,58.497333,24,22.919157,58.569822,24
I395_SB,110N04127,behavior_diverse_2_of_5,PM,28.000000,6.000000,26821;26699;26814;26810;26806;26799,12391.779733,1.893446,9.510015,21380.511595,3.277781,17.212149,12.485405,50.129578,16,8.861114,50.107291,16
I395_SB,110-04126,behavior_diverse_3_of_5,AM,29.000000,1.000000,26796,10990.960700,0.482100,0.000000,7729.041020,0.338993,1.094697,62.485667,64.015667,12,34.658752,64.001583,12
I395_SB,110-04126,behavior_diverse_3_of_5,MD,29.000000,1.000000,26796,21018.055800,0.460900,0.000000,20423.798830,0.447890,3.003065,31.190333,62.449000,24,27.607407,62.480737,24
I395_SB,110-04126,behavior_diverse_3_of_5,PM,29.000000,1.000000,26796,9404.817800,0.309400,0.000000,20545.583980,0.675842,3.151820,31.204333,51.166667,16,21.797520,51.298564,16
I395_SB,110N04120,behavior_diverse_4_of_5,AM,34.000000,3.000000,32604;32590;32584,11852.099972,0.587193,0.000000,10472.963613,0.511750,1.724922,62.823333,64.417000,12,28.804111,64.402909,12
I395_SB,110N04120,behavior_diverse_4_of_5,MD,34.000000,3.000000,32604;32590;32584,21865.297715,0.536263,0.000000,23320.413568,0.570965,3.930010,49.156333,62.803667,24,24.182894,62.819852,24
I395_SB,110N04120,behavior_diverse_4_of_5,PM,34.000000,3.000000,32604;32590;32584,16502.766791,1.057251,5.144222,22417.287577,1.409864,7.011905,17.909981,56.673594,16,14.985058,56.656360,16
I395_SB,110N04121,corridor_end,AM,40.000000,1.000000,32611,10837.703500,0.451600,0.000000,9518.645510,0.396610,1.383025,62.648333,63.627333,12,28.582572,63.957186,12
I395_SB,110N04121,corridor_end,MD,40.000000,1.000000,32611,19864.781000,0.413800,0.000000,20375.169920,0.424483,2.962089,51.801000,62.633667,24,26.924180,63.041218,24
I395_SB,110N04121,corridor_end,PM,40.000000,1.000000,32611,15579.103100,0.486800,0.000000,23036.242190,0.719883,3.391744,51.800000,56.343000,16,23.997071,56.372263,16
I495_CCW,110-04613,corridor_start,AM,1.000000,1.000000,17740,20308.043100,0.676900,0.000000,25763.689450,0.858790,2.971741,22.526667,52.031000,12,22.912816,52.212325,12
I495_CCW,110-04613,corridor_start,MD,1.000000,1.000000,17740,35672.164800,0.594500,0.000000,44716.894530,0.745282,4.990812,22.413667,27.061333,24,22.594110,35.240701,24
I495_CCW,110-04613,corridor_start,PM,1.000000,1.000000,17740,28737.994200,0.718400,0.000000,37128.105470,0.928203,4.185648,27.102333,43.497667,16,27.309164,44.145079,16
I495_CCW,110-04612,behavior_diverse_2_of_5,AM,3.000000,2.000000,31768;32760,18620.155200,0.620700,0.000000,21951.171880,0.731706,2.549367,46.992000,54.471333,12,25.396968,54.586842,12
I495_CCW,110-04612,behavior_diverse_2_of_5,MD,3.000000,2.000000,31768;32760,31321.762400,0.522000,0.000000,37595.648440,0.626594,4.405270,46.964000,48.745333,24,23.365635,50.434705,24
I495_CCW,110-04612,behavior_diverse_2_of_5,PM,3.000000,2.000000,31768;32760,28443.657600,0.711100,0.000000,33737.929690,0.843448,3.991931,48.750667,50.414333,16,22.747844,50.427819,16
I495_CCW,110-04609,behavior_diverse_3_of_5,AM,8.000000,1.000000,32642,9899.321900,0.347300,0.000000,13288.263670,0.466255,1.601087,59.316667,60.473333,12,22.721322,60.501699,12
I495_CCW,110-04609,behavior_diverse_3_of_5,MD,8.000000,1.000000,32642,21912.576900,0.384400,0.000000,26020.191410,0.456495,3.153896,50.187333,59.303333,24,23.055056,59.405956,24
