corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
VA602_NB,MD,9,9,24.0,24.204929105788,0.6438615555555556,3.928513936743894,0.4574183234567901,18.205246,True
VA602_NB,PM,9,9,10.375,10.45854973864158,1.2021654444444445,2.4939970571444,0.5185100837301586,7.670127750000001,True
VA602_SB,AM,9,9,9.875,9.902663057902323,0.49652066666666667,3.227370411853143,0.3590215364197531,7.640657,True
VA602_SB,MD,9,9,,,0.0,,0.42850252516166953,,True
VA602_SB,PM,9,9,11.0,11.057629748161064,2.148592333333333,2.6805373083584514,0.571113534920635,7.7771115,True
VA606_EB,AM,12,12,14.6,14.786508484941479,0.9474719166666666,4.677015905294718,0.5321677168871253,12.3260674,True
VA606_EB,MD,12,12,15.625,15.788266320280044,0.63628875,2.450005504773654,0.4968608031415344,11.8072675,True
VA606_EB,PM,12,12,20.25,20.49454333275628,0.5694400833333333,4.647968496061567,0.5921594558201058,16.8333595,True
VA606_NB,AM,2,2,,,0.0,,0.37820365476190476,,True
VA606_NB,MD,2,2,,,0.0,,0.4074104652777778,,True
VA606_NB,PM,2,2,,,0.0,,0.4209801160714286,,True
VA606_SB,AM,2,2,,,0.0,,0.4073027857142857,,True
VA606_SB,MD,2,2,,,0.0,,0.4175374583333334,,True
VA606_SB,PM,2,2,3.5,3.558284159784242,1.6203915,0.858579534724285,0.5621738199404762,0.25921700000000003,True
VA606_WB,AM,12,12,3.75,3.7488884981701838,0.21844724999999998,1.2433707310992632,0.4493382231922398,1.1286330000000002,True
VA606_WB,MD,12,12,4.25,4.261057522402801,0.5352775833333333,0.7022606912747569,0.48461630467372135,1.0383345,True
VA606_WB,PM,12,12,16.416666666666668,16.555943713844105,1.674451583333333,3.954807998460693,0.6556259686507937,13.0677635,True
VA607_NB,AM,9,9,2.5,2.5168658656276293,0.2255441111111111,0.8285945171752076,0.42008771626984126,0.47010299999999994,True
VA607_NB,MD,9,9,10.125,10.187126190386218,0.9908817777777779,1.642324445668032,0.4099376226116991,5.6660319999999995,True
VA607_NB,PM,9,9,,,0.0,,0.43770684893077594,,True
VA607_SB,AM,9,9,,,0.0,,0.3153265981040565,,True
VA607_SB,MD,9,9,8.375,8.427178998619588,0.6917352222222222,1.3710508982129295,0.3877409770355673,5.2621915,True
VA607_SB,PM,9,9,7.875,7.961746173353154,0.6412615555555555,1.9519499297480487,0.5138482515983245,4.989323000000001,True
VA608_NB,AM,11,11,2.0,1.9966804541765717,0.19267145454545453,0.6608789788467826,0.5287125829725828,0.940307,True
VA608_NB,MD,11,11,,,0.0,,0.4840529941378067,,True
VA608_NB,PM,11,11,15.208333333333334,15.308756101477911,1.9980129090909093,3.710991313254818,0.5927412889159451,11.545309666666666,True
VA608_SB,AM,13,13,2.0,2.024844671609412,0.12009707692307692,0.664384822750461,0.4382020618131867,0.4387380000000001,True
VA608_SB,MD,13,13,3.25,3.236514108402436,0.27014323076923075,0.5371055788836624,0.45964095589133086,0.2618619999999998,True
VA608_SB,PM,13,13,8.035714285714286,8.086458075251839,1.7672226923076921,1.9678567538768958,0.6409072707570207,4.753729285714286,True
VA610_NB,AM,2,2,,,0.0,,0.04932295833333333,,True
VA610_NB,MD,2,2,,,0.0,,0.03225060416666667,,True
VA610_NB,PM,2,2,,,0.0,,0.04466540625,,True
VA610_SB,AM,2,2,,,0.0,,0.024571270833333332,,True
VA610_SB,MD,2,2,,,0.0,,0.03016801041666667,,True
VA610_SB,PM,2,2,,,0.0,,0.042927984375000006,,True
VA611_NB,AM,16,16,2.25,2.2877981216429117,0.1069863125,0.7356879364486381,0.3232800530340609,0.538219,True
VA611_NB,MD,16,16,,,0.0,,0.2743244865658069,,True
VA611_NB,PM,16,16,12.25,12.390321671693862,1.6920701249999999,2.992836911177884,0.38992683107018844,8.86585975,True
VA611_SB,AM,17,17,7.75,7.793436296250266,0.3137645882352941,2.5614801360334245,0.30975083146591975,5.083000999999999,True
VA611_SB,MD,17,17,,,0.0,,0.2951804665421724,,True
