run_id,data_basis,detector,corridor,sensor_uid,period,calibration_scope,f_d,n,f_p,s,alpha,beta,n_episodes,duration_r2,speed_r2,duration_rmse_hr,speed_rmse_mph,duration_bound_active,speed_bound_active,reliability,link_id,tmc_code,network_link_id,network_from_node_id,network_to_node_id,network_mapping_status
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10014,AM,sensor_period,3.243765511987879,1.0000000000000002,4.5399929762484935e-05,3.519141327717928,0.0015223312272686,3.519141327717929,3,-1.8757670199721308,0.1747211055235743,0.3997059349608111,1.7531097003961766,True,False,low,28,110-10014,34031,36089,35300,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10014,MD,corridor_period,6.157725788215785,1.021389292187578,0.0521741282694758,0.8186531800111037,0.1232297040654655,0.8361635920786511,130,0.9917353602224812,0.2131409779593618,0.6785774381738506,4.88678469557179,False,False,high,28,110-10014,34031,36089,35300,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10014,PM,sensor_period,4.254525532250759,1.0000000000000002,0.9896764145666016,0.05,0.5674590219216832,0.05,17,0.632203661375597,-0.0001368104657013,0.3785926526886174,2.917121874253599,True,True,low,28,110-10014,34031,36089,35300,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10013,AM,sensor_period,3.116017234703325,1.0000000000000002,0.3453889143355114,0.2237990228515754,0.2375605305635879,0.2237990228515755,18,0.9822210102697834,0.0177846474420722,0.1725861554657147,3.807957754326642,True,False,low,29,110-10013,30196,34472,35976,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10013,MD,sensor_period,6.08634507278888,1.0084382497321798,0.0446634458563213,1.075854259637606,0.1662663309129631,1.0849325865558574,3,0.9998761161218448,0.7635530793485366,0.047998916777395,2.395800354935815,False,False,low,29,110-10013,30196,34472,35976,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10013,PM,sensor_period,4.001651810862914,1.0483689177351847,0.0038605803458863,2.593681410256204,0.0751048863850567,2.7191349730201635,14,0.9983801592908008,0.4011974247477712,0.0435985491190351,2.9455134171793325,False,False,high,29,110-10013,30196,34472,35976,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10016,AM,sensor_period,3.081344405825595,1.0000000000000002,0.3796912340451031,0.0500000000004695,0.2142231054716748,0.0500000000004695,4,0.960029317417226,-0.1086939424513908,0.2900982990198326,3.542886368877461,True,True,low,30,110-10016,30579,34589,36622,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10016,MD,sensor_period,6.166651222056705,1.0000000000000002,0.0141536055595142,1.3062119838221906,0.081252698248975,1.3062119838221908,7,0.8775610934017595,-0.0678368260863524,0.3061098574786382,6.48511515142713,True,False,low,30,110-10016,30579,34589,36622,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10016,PM,sensor_period,4.108642334197896,1.0000000000000002,9.826479107020402e-05,2.8122469256924942,0.0027878405044391,2.8122469256924947,8,0.195318550369784,0.0689314178424729,0.5464542585603236,2.0143791718983515,True,False,low,30,110-10016,30579,34589,36622,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10015,AM,corridor_period,3.111909543277336,1.0018052745475907,0.2175635736657688,0.3520624273449791,0.1730458472826055,0.3526979966842281,238,0.9973555605615052,0.0350896865030185,0.3412475492585172,5.234393813916621,False,False,high,31,110-10015,30568,34587,34444,mapped_primary_link
