corridor,period,net_link_id,tmc_code,projection_status,speed_mae_cbi_mph,speed_mae_assignment_projection_mph
I495_CW,MD,32702,110+04606,ready,23.237168884105028,2.1391740718520604
I495_CW,MD,31979,110P04606,ready,6.300868535902502,1.4653325510540185
I495_CW,MD,31977,110+04607,ready,3.012642221908525,1.427651256352344
I495_CW,MD,31988,110P04607,ready,9.810612530585358,1.3853150056465273
I495_CW,MD,32677,110+04608,ready,14.51668951745718,1.2986816946640323
I495_CW,MD,31996,110P04608,ready,10.668572340250329,3.551855195981556
I495_CW,MD,32658,110+04609,ready,8.119544435033566,8.107338140724009
I495_CW,MD,32004,110P04609,ready,8.778304174683141,5.779428455569236
I495_CW,MD,32001,110+04610,ready,15.917417565167668,7.629154876165846
I495_CW,MD,32010,110P04610,ready,6.356964491231164,11.404740049193972
I495_CW,MD,32633,110+04611,ready,5.623599605561686,10.197398242636131
I495_CW,MD,32012,110P04611,ready,42.91741797191467,10.325861089288782
I495_CW,MD,32757,110+04612,ready,28.51387373639344,10.364764932908274
I495_CW,MD,32018,110P04612,ready,8.184005215349357,17.767540223957155
I495_CW,MD,32759,110+04613,ready,32.79526095387101,10.622364046128991
I495_CW,PM,16465,110+04614,ready,1.6256220380760038,12.518370006003044
I495_CW,PM,28235,110P04645,ready,5.098180553594958,0.3315600002352723
I495_CW,PM,28736,110+04646,ready,2.825686141304347,0.6263111413043458
I495_CW,PM,28734,110P04646,ready,2.165365612648222,1.277738735177867
I495_CW,PM,32770,110+04647,ready,16.281300333498024,7.389925333498024
I495_CW,PM,32337,110P04647,ready,4.436032186768268,17.414442266517444
I495_CW,PM,32338,110+04648,ready,9.81943262104743,4.569063055830041
I495_CW,PM,31963,110P04648,ready,5.4603566576086955,1.3208729619565216
I495_CW,PM,31965,110+04603,ready,9.324470726284588,0.630894639328063
I495_CW,PM,32096,110P04603,ready,5.558322628458496,0.4251052371541486
I495_CW,PM,32094,110+04604,ready,15.950166572557876,2.8218187464709206
I495_CW,PM,31969,110P04604,ready,7.10231919348767,0.4427226025785793
I495_CW,PM,32710,110+04605,ready,3.0996557676924517,0.7491083368624127
I495_CW,PM,31975,110P04605,ready,0.7415384140316181,1.604700469367589
I495_CW,PM,32702,110+04606,ready,12.92685338438735,1.9744645503952567
I495_CW,PM,31979,110P04606,ready,3.5522214673913037,1.0225040760869564
I495_CW,PM,31977,110+04607,ready,1.4083782114624501,0.4807250494071167
I495_CW,PM,31988,110P04607,ready,7.913691329051382,1.7063583250988135
I495_CW,PM,32677,110+04608,ready,14.279759757905138,2.167721714426877
I495_CW,PM,31996,110P04608,ready,9.534303977272724,0.9281718132411076
I495_CW,PM,32658,110+04609,ready,5.584527426830418,0.6559118141821942
I495_CW,PM,32004,110P04609,ready,9.291591835474307,1.441094552865612
I495_CW,PM,32001,110+04610,ready,17.030981539972707,4.186927427418597
I495_CW,PM,32010,110P04610,ready,28.425428724355356,6.010716873706004
I495_CW,PM,32633,110+04611,ready,35.12991199357707,6.380000061758894
I495_CW,PM,32012,110P04611,ready,2.450902767450434,19.042380290160878
I495_CW,PM,32757,110+04612,ready,1.4816200601206033,13.09576925647636
I495_CW,PM,32018,110P04612,ready,1.838808286685793,15.395734996194264
I495_CW,PM,32759,110+04613,ready,1.1305968644582354,17.06528185016493
I495_NB,AM,32719,110+17034,ready,13.83086297760211,1.5992760210803685
I495_NB,AM,35788,110P17033,ready,7.005434782608698,1.6049043478260878
I495_NB,AM,32717,110P17034,ready,14.728925120772944,2.2498821914800176
I495_NB,AM,32697,110+17035,ready,12.072735507246376,1.6377282608695645
I495_NB,AM,32694,110P17035,ready,7.645244565217389,0.9828278985507227
I495_NB,AM,32684,110+17036,ready,8.618478260869566,1.0326449275362322
I495_NB,AM,32679,110P17036,ready,8.464435778593387,0.6016495467093309
I495_NB,AM,32675,110+17037,ready,8.556464097496706,0.5622901844532263
I495_NB,AM,32662,110P17037,ready,8.146403985507247,0.325813735177866
I495_NB,AM,32657,110+17038,ready,9.10752676218709,0.34966164361001323
I495_NB,AM,32653,110P17038,ready,7.490627470355733,0.27255368906455857
I495_NB,AM,32649,110+17039,ready,7.193954216073778,0.2933998682476921
I495_NB,AM,32738,110P17039,ready,7.695704051383398,0.44482954545454706
I495_NB,AM,32632,110+17040,ready,8.890777338603426,0.18080994729907474
I495_NB,AM,32743,110P17040,ready,10.098192523056653,0.5134425230566558
I495_NB,AM,32748,110+17041,ready,18.999081198774874,4.261147314477352
I495_NB,MD,32719,110+17034,ready,9.779061264822134,3.4629822134387367
I495_NB,MD,35788,110P17033,ready,3.882490261879097,3.9447804891090446
I495_NB,MD,32717,110P17034,ready,10.309959066954127,2.732601539106481
I495_NB,MD,32697,110+17035,ready,10.073703063241107,1.2900614295125161
I495_NB,MD,32694,110P17035,ready,6.437165379087318,0.6101795724038788
I495_NB,MD,32684,110+17036,ready,7.405425724637681,0.9558260869565226
I495_NB,MD,32679,110P17036,ready,8.226861413043478,1.0288306159420315
I495_NB,MD,32675,110+17037,ready,8.754317111330698,0.8263993741765484
I495_NB,MD,32662,110P17037,ready,8.006638924179688,1.2446726700232116
I495_NB,MD,32657,110+17038,ready,8.39267580698287,1.7114075263504631
I495_NB,MD,32653,110P17038,ready,7.027773180171278,1.189935153162055
I495_NB,MD,32649,110+17039,ready,7.258277691511388,0.9009461697722555
