corridor,source,episode_number,start_min,end_min,duration_min,start_time,end_time
VA28_SB,CBI_OBSERVED,2,1035,1065,30,17:15,17:45
VA28_SB,TAPLITE_MODEL,1,900,1080,180,15:00,18:00
VA28_SB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA28_SB,CUBE_QVDF,2,630,885,255,10:30,14:45
VA28_SB,CUBE_QVDF,3,900,1110,210,15:00,18:30
VA294_EB,CUBE_QVDF,1,435,480,45,07:15,08:00
VA294_EB,CUBE_QVDF,2,675,780,105,11:15,13:00
VA294_EB,CUBE_QVDF,3,975,1080,105,16:15,18:00
VA294_WB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA294_WB,CUBE_QVDF,1,360,375,15,06:00,06:15
VA294_WB,CUBE_QVDF,2,435,465,30,07:15,07:45
VA294_WB,CUBE_QVDF,3,510,600,90,08:30,10:00
VA294_WB,CUBE_QVDF,4,660,795,135,11:00,13:15
VA294_WB,CUBE_QVDF,5,840,1140,300,14:00,19:00
VA606_EB,CBI_OBSERVED,1,435,555,120,07:15,09:15
VA606_EB,CBI_OBSERVED,2,735,750,15,12:15,12:30
VA606_EB,CBI_OBSERVED,3,765,1050,285,12:45,17:30
VA606_EB,CBI_OBSERVED,4,1080,1110,30,18:00,18:30
VA606_EB,TAPLITE_MODEL,1,495,1140,645,08:15,19:00
VA606_EB,CUBE_QVDF,1,390,1140,750,06:30,19:00
VA606_NB,CUBE_QVDF,1,435,465,30,07:15,07:45
VA606_NB,CUBE_QVDF,2,690,765,75,11:30,12:45
VA606_NB,CUBE_QVDF,3,1005,1035,30,16:45,17:15
VA606_SB,CBI_OBSERVED,1,1020,1080,60,17:00,18:00
VA606_SB,CUBE_QVDF,1,705,735,30,11:45,12:15
VA606_SB,CUBE_QVDF,2,990,1050,60,16:30,17:30
VA606_WB,CBI_OBSERVED,1,735,795,60,12:15,13:15
VA606_WB,CBI_OBSERVED,2,870,1035,165,14:30,17:15
VA606_WB,CBI_OBSERVED,3,1065,1125,60,17:45,18:45
VA606_WB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA606_WB,CUBE_QVDF,1,420,480,60,07:00,08:00
VA606_WB,CUBE_QVDF,2,570,1140,570,09:30,19:00
VA611_NB,CBI_OBSERVED,1,930,945,15,15:30,15:45
VA611_NB,CBI_OBSERVED,2,990,1050,60,16:30,17:30
VA611_NB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA611_NB,CUBE_QVDF,1,405,1140,735,06:45,19:00
VA611_SB,CBI_OBSERVED,1,885,900,15,14:45,15:00
VA611_SB,CBI_OBSERVED,2,915,945,30,15:15,15:45
VA611_SB,CBI_OBSERVED,3,960,1125,165,16:00,18:45
VA611_SB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA611_SB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA611_SB,CUBE_QVDF,2,555,1140,585,09:15,19:00
VA619_EB,CUBE_QVDF,1,1020,1035,15,17:00,17:15
VA619_NB,TAPLITE_MODEL,1,360,840,480,06:00,14:00
VA619_NB,TAPLITE_MODEL,2,900,1140,240,15:00,19:00
