corridor,period,mapped_physical_link_count,zero_assignment_link_count,doc_le_0_10_link_count,doc_le_0_25_link_count,mapmatching_review_link_count,formula_review_link_count,median_assignment_volume,median_assignment_D_vphpl,median_assignment_doc,median_synthetic_period_volume,zero_assignment_positive_synthetic_count
VA267_WB,PM,63,1,19,41,4,17,2202.733700,359.546300,0.187100,15813.136631,1
VA286_NB,AM,64,0,0,8,4,26,4946.711050,898.117150,0.708150,7856.826305,0
VA286_NB,MD,64,0,0,3,4,21,12931.111700,1167.145300,0.820900,16413.836082,0
VA286_NB,PM,64,0,0,2,4,18,9300.891600,1438.003000,1.002200,10803.821630,0
VA286_SB,AM,65,0,0,2,8,23,5200.719000,889.421900,0.674100,8015.153011,0
VA286_SB,MD,65,0,0,3,8,21,13554.727600,1173.681500,0.838300,16324.569112,0
VA286_SB,PM,65,0,0,3,8,23,8283.731300,1853.119000,1.219800,10984.600910,0
VA28_NB,AM,81,0,0,2,21,49,6345.157700,1324.734200,1.260400,8469.268946,0
VA28_NB,MD,81,0,0,2,21,46,11120.378900,1134.979600,1.067500,16910.653803,0
VA28_NB,PM,81,0,0,4,21,18,7022.888700,1359.101000,1.184000,11366.489434,0
VA28_SB,AM,79,0,0,3,22,44,4584.896100,845.466300,0.794600,8313.279608,0
VA28_SB,MD,79,0,0,1,22,43,10684.588100,866.398500,0.857900,16894.429570,0
VA28_SB,PM,79,0,0,1,22,24,7628.920400,1511.867300,1.259900,11091.187000,0
VA294_EB,AM,24,0,2,2,9,10,2894.842100,559.917850,0.799850,5023.785234,0
VA294_EB,MD,24,0,2,2,9,8,7296.063400,624.904800,0.838900,10623.297435,0
VA294_EB,PM,24,0,0,2,9,1,4855.170400,803.342400,1.093950,7099.056901,0
VA294_WB,AM,24,0,3,5,1,7,1973.764550,470.355050,0.600000,5350.809378,0
VA294_WB,MD,24,0,2,2,1,7,6566.284900,566.815050,0.780700,10982.577604,0
VA294_WB,PM,24,0,0,2,1,1,5108.309350,924.405600,1.153050,7450.781314,0
VA606_EB,AM,27,0,0,0,9,15,2846.099200,813.986300,1.244800,3543.406244,0
VA606_EB,MD,27,0,0,0,9,14,5004.980300,854.449400,1.424100,7099.681058,0
VA606_EB,PM,27,0,0,0,9,0,3765.445800,1109.919200,1.528900,4567.388457,0
VA606_NB,AM,6,0,0,2,1,2,1511.045250,413.863350,0.561850,4963.698876,0
VA606_NB,MD,6,0,0,2,1,2,2879.402750,365.390250,0.481100,9973.211606,0
VA606_NB,PM,6,0,0,0,1,1,2369.118250,432.955250,0.610300,6689.326090,0
VA606_SB,AM,7,0,0,2,1,3,1231.495000,272.549200,0.341100,4801.809386,0
VA606_SB,MD,7,0,0,2,1,2,3407.462100,348.171600,0.473300,9711.504708,0
VA606_SB,PM,7,0,0,1,1,1,2866.604700,1132.097400,1.347700,6398.203450,0
VA606_WB,AM,26,0,0,1,8,12,2018.402150,740.661250,1.047950,3583.158421,0
VA606_WB,MD,26,0,0,0,8,12,4385.444700,820.879750,1.195650,7176.877883,0
VA606_WB,PM,26,0,0,0,8,1,4776.814850,2171.637700,3.169200,4666.634869,0
VA611_NB,AM,43,0,7,9,9,23,2185.880600,879.422200,1.064700,2513.118373,0
VA611_NB,MD,43,0,6,9,9,22,2369.383700,586.758600,0.838200,5031.951231,0
VA611_NB,PM,43,0,8,9,9,1,2826.058300,2200.998900,3.086400,3294.759333,0
VA611_SB,AM,43,0,7,9,9,25,1313.710500,726.579100,1.038000,2537.145069,0
VA611_SB,MD,43,0,5,8,9,21,2752.567800,609.596000,0.870900,5037.929050,0
VA611_SB,PM,43,0,3,4,9,2,3765.907800,2554.595300,3.841000,3301.266947,0
VA619_EB,AM,4,0,0,4,1,0,526.576400,149.774650,0.148700,4205.051081,0
VA619_EB,MD,4,0,0,1,1,0,2071.952900,310.959050,0.310600,9117.418436,0
VA619_EB,PM,4,0,1,1,1,0,2269.136100,567.284000,0.515700,6172.652735,0
VA619_NB,AM,37,0,3,10,10,24,1118.311900,273.965400,0.331900,4678.780261,0
VA619_NB,MD,37,0,2,4,10,24,2697.655400,406.278600,0.507800,9442.955422,0
VA619_NB,PM,37,0,2,4,10,1,2724.592500,748.645500,0.935800,6702.834834,0
VA619_SB,AM,35,0,3,12,12,22,1068.140800,290.503600,0.363100,4625.147378,0
VA619_SB,MD,35,0,2,5,12,22,2071.952900,457.096300,0.571400,9658.598469,0
VA619_SB,PM,35,0,2,3,12,0,2269.136100,761.598200,0.952000,6640.152714,0
VA619_WB,AM,3,0,0,2,1,0,490.885400,163.628500,0.148800,4408.186001,0
VA619_WB,MD,3,0,0,1,1,0,1727.835100,287.972500,0.261800,8953.893548,0
VA619_WB,PM,3,0,0,0,1,0,1922.521900,511.771300,0.639700,6089.586260,0
VA620_EB,AM,74,0,0,0,14,53,3213.999150,1441.662550,1.962350,4137.498746,0
VA620_EB,MD,74,0,0,0,14,48,3951.099750,2009.057750,2.732150,8391.446672,0
VA620_EB,PM,74,0,0,0,14,3,4308.096000,2022.077900,2.628900,5593.774293,0
